Data,R*
2020-09-02,1.376658395781016
2020-09-03,1.3553890866593448
2020-09-04,1.3438991931447637
2020-09-05,1.3287481070936877
2020-09-06,1.310021777775049
2020-09-07,1.3024043338242466
2020-09-08,1.300151685391782
2020-09-09,1.2855207439430694
2020-09-10,1.2713040507660578
2020-09-11,1.2572826851566
2020-09-12,1.2368223500460156
2020-09-13,1.234927698519892
2020-09-14,1.2212066817840759
2020-09-15,1.2076661327995348
2020-09-16,1.1984792516214782
2020-09-17,1.1905686844239243
2020-09-18,1.1850028368293215
2020-09-19,1.1806639170740336
2020-09-20,1.1742431496683268
2020-09-21,1.1800918604263726
2020-09-22,1.1746220235974916
2020-09-23,1.1658890362193062
2020-09-24,1.1566783256546849
2020-09-25,1.1501931393459661
2020-09-26,1.1524113715701498
2020-09-27,1.1516361672221334
2020-09-28,1.1414873580370068
2020-09-29,1.1376662467791656
2020-09-30,1.1360962679561646
2020-10-01,1.1519116373845582
2020-10-02,1.1589397483373696
2020-10-03,1.172404020321083
2020-10-04,1.1879659399846736
2020-10-05,1.2024097352579155
2020-10-06,1.221182867789254
2020-10-07,1.256387594659354
2020-10-08,1.2896945043251762
2020-10-09,1.3357475042544031
2020-10-10,1.3826722946661631
2020-10-11,1.4112323289605064
2020-10-12,1.437272921402222
2020-10-13,1.4777054034012824
2020-10-14,1.5017269279460619
2020-10-15,1.5256975997728959
2020-10-16,1.5472964827495055
2020-10-17,1.5739592043382107
2020-10-18,1.6014112728977583
2020-10-19,1.6195458616722347
2020-10-20,1.6337205168275586
2020-10-21,1.6681327410636613
2020-10-22,1.68641841156898
2020-10-23,1.7071646461250927
2020-10-24,1.7103364483078667
2020-10-25,1.727201653530533
2020-10-26,1.7313962247511299
2020-10-27,1.7464839609470384
2020-10-28,1.7402919423278225
2020-10-29,1.732083223877204
2020-10-30,1.7206213828254784
2020-10-31,1.7042926924236612
2020-11-01,1.683322465350073
2020-11-02,1.6634033551155407
2020-11-03,1.63540599617059
2020-11-04,1.6069147556323053
2020-11-05,1.5871006470877083
2020-11-06,1.5484880499726275
2020-11-07,1.5345552142132899
2020-11-08,1.5017663170312188
2020-11-09,1.4741227494939948
2020-11-10,1.4429129788588606
2020-11-11,1.417662582250054
2020-11-12,1.3805637561863142
2020-11-13,1.366850487238002
2020-11-14,1.3301333774021709
2020-11-15,1.3127728583166929
2020-11-16,1.288900313976692
2020-11-17,1.2802100876970999
2020-11-18,1.2468228798629641
2020-11-19,1.2337488604961493
2020-11-20,1.202495036450345
2020-11-21,1.1797682213643794
2020-11-22,1.1584669941538939
2020-11-23,1.1343526585814536
2020-11-24,1.108439778897458
2020-11-25,1.081329931429453
2020-11-26,1.056429664869927
2020-11-27,1.0176084445752323
2020-11-28,0.9960348300399254
2020-11-29,0.9836630360600882
2020-11-30,0.9864105485750648
2020-12-01,0.969954418776064
2020-12-02,0.9495444613148781
2020-12-03,0.9407161071025258
2020-12-04,0.9497644102835324
2020-12-05,0.9414484024827393
2020-12-06,0.9329005117505323
2020-12-07,0.9336592922372378
2020-12-08,0.9280984620154175
2020-12-09,0.9113558025653139
2020-12-10,0.8879008972008301
2020-12-11,0.8802607027860899
2020-12-12,0.8760319878638396
2020-12-13,0.8763140942174655
2020-12-14,0.8667702492710977
2020-12-15,0.8636461291896789
2020-12-16,0.8770268705151482
2020-12-17,0.8817894393362895
2020-12-18,0.8779328131517621
2020-12-19,0.8724446306831286
2020-12-20,0.8755922229300089
2020-12-21,0.8771368281577142
2020-12-22,0.8837183935926693
2020-12-23,0.9030701034551935
2020-12-24,0.9126930419913509
2020-12-25,0.8979310949148547
2020-12-26,0.9159984500994014
